ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,CensusTractNo,County,State,ID Geography,Geoid10
2017,2017,0,Total,54299,5471,"Census Tract 6203, Cook County, IL",6203,Cook County,IL,14000US17031620300,17031620300
2017,2017,0,Total,82865,23378,"Census Tract 1005, Cook County, IL",1005,Cook County,IL,14000US17031100500,17031100500
2017,2017,0,Total,64151,8738,"Census Tract 1006, Cook County, IL",1006,Cook County,IL,14000US17031100600,17031100600
2017,2017,0,Total,50265,13626,"Census Tract 8399, Cook County, IL",8399,Cook County,IL,14000US17031839900,17031839900
2017,2017,0,Total,53214,4928,"Census Tract 6202, Cook County, IL",6202,Cook County,IL,14000US17031620200,17031620200
2017,2017,0,Total,77324,11208,"Census Tract 1007, Cook County, IL",1007,Cook County,IL,14000US17031100700,17031100700
2017,2017,0,Total,74440,19219,"Census Tract 1101, Cook County, IL",1101,Cook County,IL,14000US17031110100,17031110100
2017,2017,0,Total,51296,12208,"Census Tract 6201, Cook County, IL",6201,Cook County,IL,14000US17031620100,17031620100
2017,2017,0,Total,80240,4899,"Census Tract 1102, Cook County, IL",1102,Cook County,IL,14000US17031110200,17031110200
2017,2017,0,Total,74537,8951,"Census Tract 1103, Cook County, IL",1103,Cook County,IL,14000US17031110300,17031110300
2017,2017,0,Total,49583,11474,"Census Tract 8398, Cook County, IL",8398,Cook County,IL,14000US17031839800,17031839800
2017,2017,0,Total,115417,17433,"Census Tract 7205, Cook County, IL",7205,Cook County,IL,14000US17031720500,17031720500
2017,2017,0,Total,70344,6702,"Census Tract 1104, Cook County, IL",1104,Cook County,IL,14000US17031110400,17031110400
2017,2017,0,Total,23438,2683,"Census Tract 6121, Cook County, IL",6121,Cook County,IL,14000US17031612100,17031612100
2017,2017,0,Total,80098,6138,"Census Tract 1105.01, Cook County, IL",1105.01,Cook County,IL,14000US17031110501,17031110501
